-0.25,90,90
0.005,90,90
0.01,90.08,90.97
0.01,90.24,90.96
0.02,90.40,91.13
0.02,90.56,91.50
0.03,90.72,91.98
0.03,90.87,91.08
0.04,91.03,91.05
0.04,91.19,91.50
0.05,91.34,91.49
0.05,91.50,91.04
0.06,91.65,91.03
0.06,91.81,90.61
0.07,91.96,91.12
0.07,92.11,91.12
0.08,92.27,90.90
0.08,92.42,91.32
0.09,92.57,91.25
0.09,92.72,91.22
0.10,92.87,91.40
0.10,93.02,90.99
0.11,93.17,90.96
0.12,93.32,90.75
0.12,93.47,91.07
0.13,93.61,90.84
0.13,93.76,91.00
0.14,93.91,90.67
0.14,94.05,90.35
0.15,94.20,90.56
0.15,94.34,90.20
0.16,94.49,90.21
0.16,94.63,90.73
0.17,94.78,90.39
0.18,94.92,90.47
0.18,95.06,90.78
0.19,95.20,90.32
0.19,95.35,90.62
0.20,95.49,90.84
0.20,95.63,90.66
0.21,95.77,90.19
0.21,95.91,90.54
0.22,96.04,89.97
0.22,96.18,89.91
0.23,96.32,89.15
0.23,96.46,90.09
0.24,96.60,90.16
0.24,96.73,89.63
0.25,96.87,90.15
0.25,97.00,90.49
0.26,97.14,90.38
0.26,97.27,91.08
0.27,97.41,90.14
0.27,97.54,90.14
0.28,97.67,90.09
0.28,97.81,90.30
0.29,97.94,90.15
0.29,98.07,89.97
0.30,98.20,90.16
0.30,98.33,90.34
0.31,98.46,90.38
0.31,98.59,90.36
0.32,98.72,90.53
0.32,98.85,90.10
0.33,98.98,90.35
0.34,99.11,90.24
0.34,99.24,90.08
0.35,99.36,90.69
0.35,99.49,90.29
0.35,99.62,90.68
0.36,99.74,90.36
0.37,99.87,90.50
0.37,99.99,90.31
0.37,100.12,90.36
0.38,100.24,90.39
0.39,100.36,90.11
0.39,100.49,90.30
0.40,100.61,90.10
0.40,100.73,89.94
0.41,100.85,90.84
0.41,100.98,90.66
0.42,101.10,90.80
0.43,101.22,90.80
0.43,101.34,91.40
0.44,101.46,91.17
0.44,101.58,91.44
0.45,101.70,91.42
0.45,101.81,90.79
0.45,101.93,90.64
0.46,102.05,90.72
0.47,102.17,90.52
0.47,102.28,90.62
0.48,102.40,90.51
0.48,102.52,90.70
0.49,102.63,89.97
0.49,102.75,90.23
0.50,102.86,90.48
0.50,102.98,89.99
0.51,103.09,89.87
0.51,103.20,90.23
0.52,103.32,90.01
0.52,103.43,89.97
0.53,103.54,90.26
0.53,103.65,90.23
0.54,103.76,89.92
0.54,103.88,90.62
0.55,103.99,90.43
0.55,104.10,90.46
0.56,104.21,90.21
0.56,104.32,90.95
0.57,104.42,90.03
0.57,104.53,90.69
0.58,104.64,90.74
0.58,104.75,91.26
0.59,104.86,90.89
0.59,104.96,90.93
0.60,105.07,90.72
0.60,105.18,90.82
0.61,105.28,90.43
0.61,105.39,90.02
0.62,105.49,90.31
0.62,105.60,90.46
0.63,105.70,90.16
0.63,105.81,89.66
0.64,105.91,89.94
0.65,106.02,89.58
0.65,106.12,89.64
0.65,106.22,90.04
0.66,106.32,90.15
0.67,106.43,90.12
0.67,106.53,90.28
0.68,106.63,90.48
0.68,106.73,90.24
0.69,106.83,90.59
0.69,106.93,90.56
0.70,107.03,90.77
0.70,107.13,90.52
0.71,107.23,90.70
0.71,107.33,90.81
0.72,107.43,90.50
0.72,107.52,90.54
0.73,107.62,90.73
0.74,107.72,90.42
0.74,107.82,90.70
0.75,107.91,90.83
0.75,108.01,90.88
0.75,108.10,91.08
0.76,108.20,91.31
0.77,108.30,90.67
0.77,108.39,91.19
0.78,108.48,91.02
0.78,108.58,90.77
0.79,108.67,90.37
0.79,108.77,90.49
0.80,108.86,90.88
0.80,108.95,91.08
0.81,109.05,91.02
0.81,109.14,91.15
0.82,109.23,91.70
0.82,109.32,91.30
0.83,109.41,91.46
0.83,109.50,91.55
0.84,109.59,91.78
0.84,109.68,92.08
0.85,109.77,91.81
0.85,109.86,92.23
0.86,109.95,91.93
0.86,110.04,91.65
0.87,110.13,91.19
0.87,110.22,91.38
0.88,110.31,91.68
0.88,110.40,92.23
0.89,110.48,92.22
0.89,110.57,92.20
0.90,110.66,91.76
0.90,110.74,92.47
0.91,110.83,92.20
0.91,110.92,92.43
0.92,111.00,92.86
0.92,111.09,92.99
0.93,111.17,92.85
0.93,111.26,93.58
0.94,111.34,93.08
0.95,111.43,93.33
0.95,111.51,93.08
0.95,111.59,92.94
0.96,111.68,92.94
0.96,111.76,92.98
0.97,111.84,93.01
0.98,111.92,93.12
0.98,112.01,92.92
0.99,112.09,93.18
0.99,112.17,93.38
1.00,112.25,93.55
1.00,112.33,93.46
1.01,112.41,93.66
1.01,112.49,93.55
1.02,112.57,93.80
1.02,112.65,93.55
1.03,112.73,94.49
1.03,112.81,94.39
1.04,112.89,94.47
1.04,112.97,94.34
1.05,113.05,94.77
1.05,113.12,94.68
1.06,113.20,94.81
1.07,113.28,95.68
1.07,113.36,96.79
1.08,113.43,96.25
1.08,113.51,96.18
1.09,113.59,95.62
1.09,113.66,96.22
1.10,113.74,96.35
1.10,113.81,96.20
1.11,113.89,96.26
1.11,113.96,96.78
1.12,114.04,96.73
1.12,114.11,96.48
1.13,114.19,96.70
1.13,114.26,96.93
1.14,114.34,96.89
1.14,114.41,97.31
1.15,114.48,97.52
1.15,114.56,97.51
1.16,114.63,97.71
1.16,114.70,98.06
1.17,114.77,98.36
1.17,114.84,98.79
1.18,114.92,98.75
1.18,114.99,99.30
1.19,115.06,99.16
1.19,115.13,99.09
1.20,115.20,99.75
1.20,115.27,99.61
1.21,115.34,99.76
1.21,115.41,99.91
1.22,115.48,99.93
1.22,115.55,100.47
1.23,115.62,100.46
1.24,115.69,100.43
1.24,115.76,100.57
1.25,115.83,101.08
1.25,115.89,101.30
1.25,115.96,102.03
1.26,116.03,102.31
1.26,116.10,102.21
1.27,116.16,102.60
1.28,116.23,101.80
1.28,116.30,102.32
1.29,116.36,102.63
1.29,116.43,103.55
1.30,116.50,103.09
1.30,116.56,103.73
1.31,116.63,104.07
1.31,116.69,104.42
1.32,116.76,104.40
1.32,116.82,104.92
1.33,116.89,105.18
1.33,116.95,105.43
1.34,117.02,105.76
1.34,117.08,105.84
1.35,117.14,105.98
1.35,117.21,106.06
1.36,117.27,106.20
1.36,117.33,106.49
1.37,117.40,106.68
1.37,117.46,107.08
1.38,117.52,107.64
1.38,117.58,107.54
1.39,117.65,108.33
1.40,117.71,108.78
1.40,117.77,108.79
1.41,117.83,109.37
1.41,117.89,109.59
1.42,117.95,109.96
1.42,118.01,110.34
1.43,118.07,110.40
1.43,118.13,110.42
1.44,118.19,110.77
1.44,118.25,110.95
1.45,118.31,110.98
1.45,118.37,111.20
1.46,118.43,111.02
1.46,118.49,111.01
1.47,118.55,111.57
1.47,118.61,111.32
1.48,118.66,111.99
1.48,118.72,112.50
1.49,118.78,112.51
1.50,118.84,112.42
1.50,118.90,112.64
1.51,118.95,113.03
1.51,119.01,113.27
1.52,119.07,114.10
1.52,119.12,114.25
1.53,119.18,114.27
1.53,119.24,114.67
1.54,119.29,115.16
1.54,119.35,115.02
1.55,119.40,115.30
1.55,119.46,115.62
1.56,119.51,116.04
1.57,119.57,116.30
1.57,119.62,116.08
1.58,119.68,115.91
1.58,119.73,116.08
1.59,119.79,116.87
1.59,119.84,117.05
1.60,119.90,117.76
1.61,119.95,117.83
1.61,120.00,118.21
1.62,120.06,118.30
1.62,120.11,118.43
1.63,120.16,118.94
1.63,120.22,118.91
1.64,120.27,119.60
1.64,120.32,119.08
1.65,120.37,119.66
1.65,120.42,119.42
1.66,120.48,119.58
1.66,120.53,119.72
1.67,120.58,119.45
1.67,120.63,119.45
1.68,120.68,120.74
1.69,120.73,120.18
1.69,120.78,120.38
1.70,120.83,120.62
1.70,120.88,120.68
1.71,120.93,120.43
1.71,120.98,121.12
1.72,121.03,121.16
1.72,121.08,120.58
1.73,121.13,120.73
1.73,121.18,121.01
1.74,121.23,120.68
1.74,121.28,120.93
1.75,121.33,121.59
1.76,121.38,121.17
1.76,121.43,121.04
1.77,121.47,121.69
1.77,121.52,121.93
1.78,121.57,121.87
1.78,121.62,121.60
1.79,121.67,121.57
1.79,121.71,121.10
1.80,121.76,121.24
1.80,121.81,120.81
1.81,121.85,120.93
1.81,121.90,120.95
1.82,121.95,121.46
1.83,121.99,121.17
1.83,122.04,121.57
1.84,122.09,121.70
1.84,122.13,121.50
1.85,122.18,121.43
1.85,122.22,122.12
1.86,122.27,121.92
1.86,122.31,122.17
1.87,122.36,122.01
1.87,122.40,122.56
1.88,122.45,122.59
1.88,122.49,122.09
1.89,122.54,122.11
1.89,122.58,122.13
1.90,122.63,122.48
1.90,122.67,122.87
1.91,122.72,123.24
1.92,122.76,122.99
1.92,122.80,123.45
1.93,122.85,123.51
1.93,122.89,123.47
1.94,122.93,123.94
1.94,122.97,123.67
1.95,123.02,123.87
1.95,123.06,123.84
1.96,123.10,124.08
1.97,123.14,124.37
1.97,123.19,123.70
1.98,123.23,123.86
1.98,123.27,124.20
1.98,123.31,124.14
1.99,123.35,123.85
2.00,123.40,124.31
2.00,123.44,124.33
2.01,123.48,125.04
2.02,123.52,125.05
2.02,123.56,124.81
2.03,123.60,124.99
2.03,123.64,124.89
2.04,123.68,125.16
2.04,123.72,124.39
2.05,123.76,124.47
2.05,123.80,124.15
2.06,123.84,124.19
2.06,123.88,124.27
2.07,123.92,124.30
2.07,123.96,124.71
2.08,124.00,124.49
2.08,124.04,124.42
2.09,124.08,124.60
2.09,124.12,124.57
2.10,124.15,125.13
2.10,124.19,124.14
2.11,124.23,123.51
2.12,124.27,123.74
2.12,124.31,123.65
2.13,124.35,123.69
2.13,124.38,123.63
2.14,124.42,124.14
2.14,124.46,124.11
2.15,124.50,123.48
2.15,124.53,123.39
2.16,124.57,123.59
2.16,124.61,123.30
2.17,124.65,123.30
2.17,124.68,123.01
2.18,124.72,122.74
2.18,124.76,122.95
2.19,124.79,122.96
2.19,124.83,123.34
2.20,124.86,122.74
2.20,124.90,122.34
2.21,124.94,121.74
2.22,124.97,121.83
2.22,125.01,121.77
2.23,125.04,121.44
2.23,125.08,121.24
2.24,125.11,120.92
2.24,125.15,121.54
2.25,125.18,121.71
2.25,125.22,121.96
2.26,125.25,121.78
2.26,125.29,121.72
2.27,125.32,121.53
2.27,125.36,122.01
2.28,125.39,121.66
2.28,125.43,121.86
2.29,125.46,121.65
2.29,125.49,122.12
2.30,125.53,121.87
2.31,125.56,122.46
2.31,125.59,122.26
2.32,125.63,122.68
2.32,125.66,122.76
2.33,125.69,122.10
2.33,125.73,122.15
2.34,125.76,121.94
2.35,125.79,121.41
2.35,125.83,122.02
2.36,125.86,122.09
2.36,125.89,121.82
2.37,125.92,122.09
